"no"|"st"|"en"|"st_flt"|"en_flt"|"dif"|"pause_flt"|"txt"
"0"|"00:00:00.310"|"00:01:03.060"|"0.31"|"63.06"|"62.75"|"0.0"|"W niedalekiej przyszłości Tyrell Corporation tworzy bioinżynieryjnych ludzi stworzonych do niewolniczej pracy zwanych „replikantami”. Jednak firma upada, gdy ich modele Nexus-6 do 8 zaczynają się buntować, domagając się takich samych praw jak ludzie. Kiedy ekosystemy upadają, a głód zaczyna rozprzestrzeniać się po całej planecie, przemysłowiec Wallace tworzy syntetyczne rolnictwo i ratuje ludzkość. Następnie kupuje to, co zostało z Tyrella, aby stworzyć własną korporację, która wypuszcza nowy model o nazwie Nexus-9, który ma być bardziej posłuszny. Starsze modele są ścigane i przenoszone na emeryturę przez agentów specjalnych zwanych „łowcami androidów”. Jest rok 2049, a Agent K, model Nexus-9 , podróżuje poza Los Angeles, aby schwytać zbuntowanego replikanta. K znajduje Sappera na swojej farmie i dochodzi do walki, podczas której Sapper obraża modele Nexusa-9 i wspomina, że K nie zabijałby swojego gatunku, gdyby widział cud, który widział Sapper. K nie dba o to i zabija go mimo wszystko. Kiedy K ma zamiar odejść, widzi kwiaty dokładnie umieszczone obok drzewa i każe dronowi przeskanować teren, odkrywając skrzynię zakopaną pod ziemią i prosząc zespół kryminalistyczny o przybycie i wykopanie jej. Kiedy wraca do biura, K przechodzi zwykły „test podstawowy”, który replikanci muszą przejść, aby udowodnić, że są zdrowi i posłuszni, po czym wraca do domu."
"20"|"00:01:03.060"|"00:02:02.609"|"63.06"|"122.61"|"59.55"|"0.0"|"K mieszka z Joi, holograficzną kobietą, którą kupił, by dotrzymywała mu towarzystwa. Może być tylko hologramem, ale K bardzo ją polubił i postanowił kupić jej „emanator”, który pozwala Joi swobodnie wędrować i nie ograniczać się już do mieszkania . Idą razem na dach, aby przytulić się w deszczu, ale ich słodką chwilę przerywa wiadomość, która informuje K, że mają skrzynię z farmy. K pędzi z powrotem na stację i dowiaduje się, że skrzynia zawiera szkielet i trochę włosów, które należały do kobiety, która zmarła podczas cesarskiego cięcia w nagłych wypadkach około trzydzieści lat temu. Następnie K zauważa, że na jednej z kości widnieje numer seryjny, co oznacza, że nie była człowiekiem ale replikantem. To dość szokujące, ponieważ replikanty nie powinny być zdolne do reprodukcji. Porucznik Joshi uważa, że opinia publiczna dowiedziawszy się, że replikanty stają się tak podobne do ludzi rozerwałaby cywilizację, więc nakazuje K spalić farmę i znaleźć dziecko, aby je zabić. K waha się, ponieważ jeśli dziecko się urodziło, to jest człowiekiem, a nie replikantem, ale Joshi odrzuca ten pomysł. Wychodząc, K zdaje sobie sprawę, że dziecko było cudem, który zobaczył Sapper. Chwilę później K przybywa do Wallace Company, aby zapytać o replikanta, przedstawiając numer seryjny i część jej włosów, aby ją zidentyfikować."
"39"|"00:02:02.609"|"00:03:01.560"|"122.61"|"181.56"|"58.95"|"0.0"|"Pracownik wyjaśnia, że ten model pochodzi sprzed 2022 r., kiedy zdarzenie zwane „przerwą w dostawie prądu” wymazało prawie wszystkie pliki cyfrowe firmy , więc będą musieli sprawdzić, czy pozostały jakieś dane w formie papierowej. Znajdują plik, który wskazuje, że replikant był „standardowym problemem” i „nie wyróżniał się”. W tym momencie pojawia się replikant o imieniu Luv i daje K dostęp do starego nagrania audio należącego do eksperymentalnej replikantki o imieniu Rachael, która przypadkowo zaginęła trzydzieści lat temu. To nagranie zostało zrobione przez łowcy androidów o imieniu Rick, a K zauważa, że on i Rachael wydawali się bardzo blisko. Następnie K udaje się do domu spokojnej starości, aby przeprowadzić wywiad ze starym mężczyzną, który pracował z Rickiem, ale wszystko, co wie, to to, że Rick przeszedł na emeryturę i wyjechał sam, nie wiadomo gdzie. W międzyczasie Luv przynosi Wallace'owi najnowszy model do testów. Wallace używa specjalnego urządzenia do sprawdzania wszystkich funkcji życiowych replikantki i ostatecznie zabija ją, ponieważ nie może się rozmnażać, co bezskutecznie próbuje zaprogramować . Wie, że gdzieś tam jest dziecko, które urodziło replikanta stworzonego przez starą firmę Tyrell, i nakazuje Luv znaleźć je, aby mogli zbudować nową przyszłość, w której replikanty rodzą się, a nie stają. Później wieczorem tajemnicza postać płaci pracującej dziewczynie o imieniu Mariette, aby podeszła do"
"58"|"00:03:01.560"|"00:04:03.229"|"181.56"|"243.23"|"61.67"|"0.0"|"K, podczas gdy on je obiad i dowiedziała się, ile wie o Sapperze. Niestety wysiłki Mariette, by flirtować i nawiązać rozmowę, są odrzucane przez niezadowolonego K. Następnego dnia K wraca na farmę, aby znaleźć więcej wskazówek. Zauważa, że fortepian ma dwa złamane klawisze, a kiedy sprawdza w środku, znajduje puszkę z dziecięcą skarpetką i zdjęcie kobiety z dzieckiem stojącej pod drzewem. K idzie ponownie sprawdzić drzewo i odkrywa datę 6.10.21 wyrytą u podstawy. Te liczby sprawiają, że ma wizję płonącego domu i dzieciaka trzymającego zabawkowego konia co bardzo go niepokoi. Następnie K podpala farmę i odchodzi. Na tej stacji Luv zakrada się do kostnicy i kradnie wszystkie dowody z farmy w tym kości, zabijając przy tym technika laboratoryjnego . Wieczorem Joshi odwiedza K, aby poinformować go o tym, co wydarzyło się na stacji. Joshi zastanawia się, czy K ma jakieś wspomnienia i wyjaśnia, że tak, ale zostały one wszczepione więc nie są prawdziwe. Wspomina, jak dorastał w sierocińcu i jak inne dzieci goniły go, by ukraść mu drewnianego konia. Aby tego uniknąć, mały K ukrył zabawkę w piecu, a inne dzieciaki go za to zbiły. Następnego dnia K rozpoczyna poszukiwania dzieci urodzonych w dniu, który zobaczył na farmie."
"77"|"00:04:03.229"|"00:05:03.110"|"243.23"|"303.11"|"59.88"|"0.0"|"Joi dotrzymuje mu towarzystwa i drażni się z historią o drewnianym koniu, przypominając mu, że zabawka miała tę samą datę, ale K uważa, że to tylko zbieg okoliczności. Ponieważ wyszukiwanie według dat nie dostarcza żadnych informacji, K rozpoczyna wyszukiwanie według DNA i znajduje dwoje dzieci z dokładnie tym samym DNA, co nie powinno być możliwe. Akta pokazują narodziny dwojga dzieci, które wysłano do sierocińca Morrillcole: dziewczynka zmarła na chorobę genetyczną, a chłopiec po prostu zniknął z akt. Następnie K i Joi jadą do San Diego w poszukiwaniu sierocińca. Po drodze padlinożercy zestrzeliwują jego latający samochód i powodują jego awarię. K traci przytomność, a Joi bezskutecznie próbuje go obudzić, zanim zniknie z powodu awarii. Padlinożercy zbliżają się, by siłą otworzyć drzwi, a K budzi się w samą porę, by obronić się przed nadchodzącym atakiem. K pozbywa się kilku ludzi i wyciąga broń, tylko po to, by zauważyć, że ściga go ogromna uzbrojona grupa . W tym momencie coś zaczyna strzelać do grupy z nieba, ratując K przed potencjalną walką. Okazuje się, że to Luv, która zdalnie steruje dronem. Chce, aby K szedł dalej i znalazł dla niej dziecko. W końcu K znajduje sierociniec, a dzieci chętnie go witają."
"95"|"00:05:03.110"|"00:06:00.649"|"303.11"|"360.65"|"57.54"|"0.0"|"K rozmawia z panem Cottonem, aby poprosić o dane dzieci, które przybyły tu trzydzieści lat temu a kiedy Cotton początkowo odmawia, K uderza go, aby zmusić go do współpracy. Następnie Cotton zabiera go do swojego biura, a po drodze K nie może nie zauważyć, że to miejsce bardzo przypomina sierociniec z jego pamięci. Kiedy Cotton znajduje akta, odkrywa, że ktoś wyjął potrzebne im strony z roku . Cotton wychodzi z biura, a K zauważa, że popielniczka to koń, co inspiruje go do rozejrzenia się po okolicy. Odnajduje piec ze wspomnienia, a kiedy zagląda do środka, odkrywa, że jego drewniany koń nadal tam jest, co powoduje u niego załamanie, ponieważ jeśli wspomnienia są prawdziwe, może mimo wszystko być człowiekiem. Kiedy K wraca do domu, Joi jest zachwycony słysząc tę historię i zaczyna nazywać go „Joe”, twierdząc że zawsze wiedział, że jest wyjątkowy. K chce mieć pewność, że teoria, że jest cudownym dzieckiem, jest prawdziwa, a Jo radzi mu, aby skontaktował się z osobą odpowiedzialną za tworzenie wspomnień dla replikantów. Następnego dnia K odwiedza Doktor Anę, która pokazuje mu, jak tworzy wspomnienia, które później sprzedaje Wallace'owi za jego replikanty. Ana wyjaśnia, że kopiowanie prawdziwych wspomnień w celu umieszczenia ich w replikantach jest nielegalne, wszystko, co kiedykolwiek zrobiła, było od zera."
"114"|"00:06:00.649"|"00:07:02.560"|"360.65"|"422.56"|"61.91"|"0.0"|"Zgadza się użyć swoich maszyn do przyjrzenia się wspomnieniom K z dzieciństwa i ze łzami w oczach informuje go, że są prawdziwe. K ma emocjonalny wybuch przed opuszczeniem budynku, gdzie zostaje nagle aresztowany przez własnych współpracowników. Chwilę później K przechodzi egzamin podstawowy, a jego stan emocjonalny powoduje, że go nie zda. Wściekły Joshi zabiera K do swojego biura, aby skarcić go za marnowanie czasu, ale K natychmiast mówi jej, że podróżował daleko, ponieważ znalazł dzieciaka, który był używany jako zwykły pracownik i już go przeszedł na emeryturę. Joshi cieszy się, słysząc to, i daje K czterdzieści osiem godzin na zebranie się przed ponownym przystąpieniem do testu, ale każe mu zostawić odznakę i broń. Potem K wraca do domu i odkrywa, że Joi wynajął Mariette na noc. Ponieważ Joi nie może niczego dotknąć, kładzie swój hologram na Mariette, co pozwala K technicznie się z nią rozbrykać. Następnego ranka Mariette ukrywa lokalizator w kurtce K. Znajduje również konia, ale Joi każe jej odejść, zanim będzie mogła cokolwiek zabrać. Chwilę później Joi przygotowuje się do opuszczenia miasta, ponieważ wie, że wkrótce przyjedzie po niego policja. Joi chce iść z nim i prosi go, aby zabrał ją do emanatora, radzi mu również aby usunął jej kopię na swoim komputerze, aby gliny nie mogły użyć jej przeciwko niemu."
"134"|"00:07:02.560"|"00:08:00.350"|"422.56"|"480.35"|"57.79"|"0.0"|"K protestuje, ponieważ jeśli coś stanie się emanatorowi, straci ją na zawsze, ale Joi przekonuje go, że jej potrzebuje, w ten sposób K niszczy swój system domowy i łamie antenę emanatora. W Wallace Corporation Luv zauważa to i natychmiast biegnie do mieszkania K gdzie znajduje zepsutą antenę. Potem idzie do Joshiego, który wyjaśnia, że nie wie, gdzie jest K i że sprawa jest zakończona. Luv informuje ją, że K skłamała o zabiciu urodzonego replikanta, ale Joshi nadal odmawia udostępnienia dalszych informacji, a Luv ją zabija. Następnie Luv używa policyjnego komputera, aby znaleźć lokalizację K. W międzyczasie K spotyka w lombardzie mężczyznę, który może przeanalizować pochodzenie konia. Jego maszyna wskazuje na wysoki poziom promieniowania, taki jak w Las Vegas. Kiedy dociera do ruin starego, opuszczonego miasta, dron K skanuje okolicę i znajduje w oddali ognisko ciepła. K idzie zbadać i znajduje cały ul w pobliżu szeregu brudnych posągów, przez co decyduje się wejść do najbliższego opuszczonego budynku, który okazuje się być kasynem. Po chwili rozglądania się, K idzie na górę i jest zszokowany, gdy znajduje psa. To odwrócenie uwagi pozwala Rickowi zaskoczyć go od tyłu swoją bronią."
"152"|"00:08:00.350"|"00:09:03.950"|"480.35"|"543.95"|"63.6"|"0.0"|"Rick może powiedzieć, że K jest łowcą androidów i nie wierzy mu, kiedy K mówi, że chce tylko zadać kilka pytań, więc K zeskakuje na parter tuż przed oddaniem strzału przez Ricka. Rick szuka K i aktywuje pokaz hologramów w scenariuszu kasyna, aby odwrócić uwagę. K wskakuje na niego i po poproszeniu go o ponowną rozmowę, pozwala Rickowi uderzać go wielokrotnie, aby udowodnić, że nie chce skrzywdzić. Rick jest przekonany o intencjach K i zabiera go do baru na drinka. K domyśla się, że Rick i Rachael mieli razem dziecko, a Rick to potwierdza. Wyjaśnia, że nigdy nie spotkał własnego dziecka z powodu planu: Rick nauczył Sappera i członków Ruchu Wolności Replikantów, jak zaszyfrować nagrania i zatrzeć ślady, a następnie zostawił z nimi Rachael i zniknął, aby uniknąć sprowadzenia swojej rodziny kłopoty z policją. Zdenerwowany wspomnieniami Rick opuszcza bar, a K nadal się rozgląda, znajdując serię drewnianych zwierząt. Chwilę później, podczas odpoczynku, K pozwala Joi wyjść na chwilę. To uruchamia coś w maszynie, a K natychmiast wyłącza Joi, zanim Rick przyjdzie zobaczyć, co się dzieje. Wyglądają na zewnątrz przez lornetkę i odkrywają grupę samochodów zbliżających się do budynku. Obaj biegną, by uciec samochodem Ricka, ale w tym momencie pokój eksploduje. Następnie Luv i jej ludzie przybywają, aby porwać Ricka, którego próby obrony kończą się niepowodzeniem."
"172"|"00:09:03.950"|"00:10:03.529"|"543.95"|"603.53"|"59.58"|"0.0"|"K też próbuje walczyć, ale Luv kopie go, przypadkowo aktywując Joi. Hologram błaga o litość, ale Luv niszczy emanator i odchodzi ze swoimi ludźmi, pozostawiając K na śmierć. Wieczorem tajemnicza grupa ratuje K i pozbywa się tropiciela. Kiedy K się budzi, znajduje się w Ruchu Wolności Replikantów, którego częścią jest Mariette. Obiecuje mu, że może im zaufać i przedstawia go ich przywódcy Freysie, która ma zdjęcie Rachael i dziecka. To właśnie Freysa asystowała Rachael podczas porodu i pomagała jej ukryć dziecko. Saper pozwolił K go zabić, ponieważ on również był częścią ich grupy i przysiągł dochować tajemnicy. Freysa ujawnia, że dziecko było dziewczynką, a ona wyrosła na dr Anę, ale kiedy ukryli dziecko, ubrali ją na niebiesko, aby wywołać zamieszanie. K jest zdruzgotany, słysząc, że mimo wszystko nie jest cudownym dzieckiem i zdaje sobie sprawę, że kiedy Rick nauczył grupę szyfrować rekordy, K zdobył niektóre dane dziecka, w tym jej wspomnienia powodując fałszywe dopasowanie DNA, które znalazł w komputerach. Freysa wie, że istnienie Any dowodzi, że replikanci to coś więcej niż niewolnicy i chce, aby rewolucja nadeszła dla jej ludu, więc K powinien do nich dołączyć. Dzięki niemu Wallace znalazł Ricka, a teraz obowiązkiem K jest zabicie Ricka, zanim Wallace"
"190"|"00:10:03.529"|"00:11:00.230"|"603.53"|"660.23"|"56.7"|"0.0"|"użyje go do znalezienia ich grupy. W międzyczasie Rick budzi się w pokoju z Wallace'em, który ujawnia, że ma czaszkę Rachael i nagranie jej wywiadu z Rickiem. Wallace próbuje zasugerować, że uczucia Rachael do Ricka zostały zaprogramowane przez jej twórcę ponieważ chciał sprawdzić, czy Rick może zrobić z nią dziecko, ale Rick nie chce w to uwierzyć . Zdeterminowany, by zdobyć informacje o dziecku, Wallace przedstawia Rickowi kopię Rachael, którą zrobił. Rick jest poruszony widokiem swojej ukochanej, ale nie daje się na to nabrać, ponieważ pomylili kolor oczu, więc Wallace każe Luvowi zabić Rachael, zanim przypomni Rickowi, że może go skrzywdzić, aby zmusić go do mówienia. Wracając do K, błąka się po ulicach, gdy nagle widzi reklamę Joi AI, która wchodzi z nim w interakcję, aby ją kupić. K pamięta wszystkie stracone życia i postanawia zemścić się za swojego Joi. Znajduje samochód i podąża za pojazdem Luv, który przewozi Ricka do tajnego budynku Wallace'a, gdzie trzyma wszystkie swoje maszyny do bólu. K strzela do samochodu Luv i powoduje jego zderzenie z zaporą. Następnie K zbliża się do samochodu, otwierając ogień, ale Luv strzela z powrotem i obaj zostają trafieni kulami. Podczas gdy woda z tamy zaczyna zalewać samochód, K i Luv zaczynają walczyć"
"210"|"00:11:00.230"|"00:11:39.870"|"660.23"|"699.87"|"39.64"|""|"wręcz, ale Luv ujawnia ukryty nóż i dźga K. Zakładając, że wygrała, Luv całuje K i zostawia go na śmierć przed powrotem do samochodu. Jednak zostaje zaatakowana z zaskoczenia przez K, który użył wody, aby zbliżyć się do niej niezauważony. Po krótkiej walce K udaje się zabić Luv, a następnie uwalnia Ricka z jego więzów. Oboje płyną do samochodu K i patrzą, jak pojazd Luv tonie. K wskazuje, że teraz wszyscy pomyślą, że Rick nie żyje, więc może ponownie połączyć się z córką. Rick i K udają się do laboratoriów Any, ale przed wejściem do środka K daje Rickowi konia. Podczas gdy Rick wchodzi do budynku i w końcu spotyka swoją córkę, Rick siedzi na schodach i patrzy, jak pada śnieg, zastanawiając się, czy przeżyje ranę kłutą."
